PČV,Typ,Stav,Kód STK,Název STK,Platnost od,Platnost do,Číslo protokolu,Aktuální
9502714,P - Pravidelná,A,3623,"DOBENÍNSKÁ 2014, 54701, NÁCHOD",2005-11-26,2007-11-26,,True
6721485,P - Pravidelná,A,3725,"ČESKOSLOVENSKÉ ARMÁDY 217, 68401, SLAVKOV U BRNA",2008-08-08,2009-08-08,,True
10241425,P - Pravidelná,A,3640,"HORSKÁ 932, 54101, TRUTNOV - STŘEDNÍ PŘEDMĚSTÍ",2005-01-19,2007-01-19,,True
102445,P - Pravidelná,A,3308,"JAROŠOVSKÁ 869/II, 37701, JINDŘICHŮV HRADEC",2004-05-03,2006-05-03,,True
10235668,P - Pravidelná,A,3508,"RYBALKOVA 2765, 44001, LOUNY",2004-05-18,2006-05-18,,True
10227238,P - Pravidelná,A,3827,"TĚŠÍNSKÁ 2868/37A, 74600, OPAVA - PŘEDMĚSTÍ",2007-08-20,2009-08-08,,True
6929177,P - Pravidelná,A,3706,"JESTŘABEC 2044, 59401, VELKÉ MEZIŘÍČÍ",2007-03-19,2009-03-19,,True
4687176,E - Evidenční,Nezjištěno,3623,"DOBENÍNSKÁ 2014, 54701, NÁCHOD",2004-02-16,2004-02-16,,True
9617283,E - Evidenční,Nezjištěno,3725,"ČESKOSLOVENSKÉ ARMÁDY 217, 68401, SLAVKOV U BRNA",2004-04-14,2004-04-14,,True
8852681,P - Pravidelná,A,3640,"HORSKÁ 932, 54101, TRUTNOV - STŘEDNÍ PŘEDMĚSTÍ",2010-03-09,2012-03-09,,True
10466958,P - Pravidelná,A,3108,"RADIMOVA 2327/39, 16900, PRAHA 6 - BŘEVNOV",2009-05-26,2011-05-26,,True
7517023,P - Pravidelná,A,3742,"VRCHLICKÉHO 349, 79852, KONICE",2005-10-17,2007-10-17,,True
7537885,P - Pravidelná,A,3825,"MARKVARTOVICKÁ 7, 74801, HLUČÍN",2008-03-19,2010-03-19,,True
9623619,P - Pravidelná,A,3606,"HRADECKÁ 1122, 50601, JIČÍN",2006-06-02,2008-06-02,,True
11079791,E - Evidenční,Nezjištěno,3423,"PIVOVARSKÁ 146, 33701, ROKYCANY",2005-05-23,2005-05-23,,True
9645681,P - Pravidelná,Nezjištěno,3225,"SUCHDOLSKÁ 682, 25262, HOROMĚŘICE",2009-01-26,2009-12-19,,True
11513422,E - Evidenční,Nezjištěno,3708,"Brněnská 74, 693 01, Hustopeče",2004-09-08,2004-09-08,,True
3389558,E - Evidenční,Nezjištěno,3608,"KRÁTKÁ 487, 54901, NOVÉ MĚSTO NAD METUJÍ",2003-06-25,2003-06-25,,True
5589626,P - Pravidelná,A,3706,"JESTŘABEC 2044, 59401, VELKÉ MEZIŘÍČÍ",2005-01-03,2006-03-29,,True
4282057,P - Pravidelná,A,3808,"ŠPÁLOVA 1095/11, 70200, OSTRAVA-MOR. OSTRAVA A PŘÍVOZ",2003-10-06,2005-10-06,,True
3894676,E - Evidenční,Nezjištěno,3808,"ŠPÁLOVA 1095/11, 70200, OSTRAVA-MOR. OSTRAVA A PŘÍVOZ",2001-10-29,2001-11-29,,True
8819998,E - Evidenční,Nezjištěno,3523,"HAVÍŘSKÁ 360/29, 40010, ÚSTÍ NAD LABEM - VŠEBOŘICE",2008-11-19,2008-11-19,,True
5491909,P - Pravidelná,Nezjištěno,360600001,NOVÉ VOZIDLO,2004-01-13,2006-01-13,,True
9479520,P - Pravidelná,B,310000131,"31.10 PRAHA 3, AUTO JAROV     (IČO-45789584), OSIKOVÁ 2",1996-10-10,1998-10-10,,False
9479520,P - Pravidelná,Nezjištěno,3108,"RADIMOVA 2327/39, 16900, PRAHA 6 - BŘEVNOV",1998-10-08,2000-10-08,,True
11513422,P - Pravidelná,A,3740,"MASARYKOVA 1663, 69826, VESELÍ NAD MORAVOU",2006-04-04,2008-04-04,,True
7708874,P - Pravidelná,A,3225,"SUCHDOLSKÁ 682, 25262, HOROMĚŘICE",2006-09-13,2008-09-13,,True
7701322,P - Pravidelná,A,3742,"VRCHLICKÉHO 349, 79852, KONICE",2006-08-03,2008-07-21,,True
7708283,P - Pravidelná,A,3840,"SLEZSKÁ 643/3, 747 28, ŠTĚPÁNKOVICE",2006-11-28,2008-11-28,,True
7835167,P - Pravidelná,A,3725,"ČESKOSLOVENSKÉ ARMÁDY 217, 68401, SLAVKOV U BRNA",2006-05-23,2008-05-23,,True
192062,P - Pravidelná,A,3706,"JESTŘABEC 2044, 59401, VELKÉ MEZIŘÍČÍ",2003-10-01,2005-10-01,,True
7781676,E - Evidenční,Nezjištěno,3623,"DOBENÍNSKÁ 2014, 54701, NÁCHOD",2002-08-12,2002-08-12,,True
10284943,E - Evidenční,Nezjištěno,3223,"DLOUHÉ POLE 31, 25601, BENEŠOV",2005-10-03,2005-10-03,,True
3389558,P - Pravidelná,A,3608,"KRÁTKÁ 487, 54901, NOVÉ MĚSTO NAD METUJÍ",2002-11-11,2004-11-11,,True
7124849,P - Pravidelná,A,3208,"OBECNICKÁ 323, 26101, PŘÍBRAM I",2008-04-29,2010-04-29,,True
489293,E - Evidenční,Nezjištěno,3635,"NA BĚLIDLE 1652, 54301, VRCHLABÍ",2003-10-29,2003-10-29,,True
7650579,P - Pravidelná,A,3814,"U ŘEKY 660, 72000, OSTRAVA - HRABOVÁ",2008-01-09,2010-01-09,,True
489293,P - Pravidelná,A,3635,"NA BĚLIDLE 1652, 54301, VRCHLABÍ",2005-05-16,2007-05-16,,True
7681466,P - Pravidelná,A,3228,"POD HÁJEM 372, 26701, KRÁLŮV DVŮR",2009-01-20,2011-01-20,,True
7610073,E - Evidenční,Nezjištěno,3728,"DŘEVAŘSKÁ 2250/33, 68001, BOSKOVICE",2004-09-08,2004-09-08,,True
7651526,E - Evidenční,Nezjištěno,3703,"BŘEZOLUPY 475, 68713, BŘEZOLUPY",2003-03-03,2003-03-03,,True
7610073,P - Pravidelná,A,3728,"DŘEVAŘSKÁ 2250/33, 68001, BOSKOVICE",2007-11-22,2009-11-22,,True
840114,P - Pravidelná,A,3310,"HRADIŠŤSKÁ 2439, 39701, PÍSEK",2005-01-12,2007-01-12,,True
7658672,P - Pravidelná,A,3728,"DŘEVAŘSKÁ 2250/33, 68001, BOSKOVICE",2006-02-02,2008-02-02,,True
7736207,P - Pravidelná,A,3303,"PÍSECKÁ 513, 38601, STRAKONICE I",2008-10-02,2010-10-02,,True
9742889,P - Pravidelná,Nezjištěno,3117,"PROSECKÁ 817, 19000, PRAHA 9",2000-03-01,2002-03-01,,False
9742889,P - Pravidelná,Nezjištěno,3117,"PROSECKÁ 817, 19000, PRAHA 9",2000-02-29,2000-02-29,,False
10654959,P - Pravidelná,Nezjištěno,3428,"VINTÍŘOVSKÁ 1119, 35735, CHODOV",2010-06-14,2011-10-13,,True
8822208,P - Pravidelná,Nezjištěno,350300001,STK - CTIBOROVA,1992-07-21,1998-07-31,,False
3915581,E - Evidenční,Nezjištěno,3303,"PÍSECKÁ 513, 38601, STRAKONICE I",2007-06-22,2007-06-22,,True
5686084,P - Pravidelná,A,3814,"U ŘEKY 660, 72000, OSTRAVA - HRABOVÁ",2004-09-22,2006-07-29,,True
2963713,E - Evidenční,Nezjištěno,3621,"DR. FARSKÉHO 300, 51211, VYSOKÉ NAD JIZEROU",2005-05-02,2005-05-02,,True
4537895,E - Evidenční,Nezjištěno,3117,"PROSECKÁ 817, 19000, PRAHA 9",2002-01-23,2002-01-23,,True
10498864,P - Pravidelná,A,3621,"DR. FARSKÉHO 300, 51211, VYSOKÉ NAD JIZEROU",2007-05-29,2009-05-29,,True
10487476,P - Pravidelná,A,3110,"K MĚCHOLUPŮM 3, 10900, PRAHA 10",2006-03-09,2008-03-09,,True
8853109,E - Evidenční,Nezjištěno,3403,"ČÍMICE 77, 34201, ČÍMICE",2007-01-12,2007-01-12,,True
643358,P - Pravidelná,A,3603,"LIDICKÁ 3974, 58001, HAVLÍČKŮV BROD",2004-02-12,2006-02-12,,True
7550399,P - Pravidelná,B,3728,"DŘEVAŘSKÁ 2250/33, 68001, BOSKOVICE",2009-11-26,2009-12-26,,True
1388948,E - Evidenční,Nezjištěno,3228,"POD HÁJEM 372, 26701, KRÁLŮV DVŮR",2008-12-15,2008-12-15,,True
8186777,P - Pravidelná,A,3728,"DŘEVAŘSKÁ 2250/33, 68001, BOSKOVICE",2008-12-03,2010-12-03,,True
9851540,P - Pravidelná,A,3803,"LITOVELSKÁ 2585/14, 78501, ŠTERNBERK",2004-12-17,2006-12-17,,True
9937436,P - Pravidelná,A,3628,"U Koupaliště 180, 561 64, Jablonné nad Orlicí",2007-08-22,2009-08-20,,True
9937436,E - Evidenční,Nezjištěno,3628,"U Koupaliště 180, 561 64, Jablonné nad Orlicí",2003-01-28,2003-01-28,,True
9983927,E - Evidenční,Nezjištěno,3117,"PROSECKÁ 817, 19000, PRAHA 9",2004-04-06,2004-04-06,,True
9983927,P - Pravidelná,A,3117,"PROSECKÁ 817, 19000, PRAHA 9",2008-11-25,2010-11-25,,True
9851540,E - Evidenční,Nezjištěno,3803,"LITOVELSKÁ 2585/14, 78501, ŠTERNBERK",2003-02-10,2003-02-10,,True
5104185,P - Pravidelná,A,3814,"U ŘEKY 660, 72000, OSTRAVA - HRABOVÁ",2007-06-26,2009-06-26,,True
8806930,E - Evidenční,Nezjištěno,3203,"NETOVICKÁ 350, 27401, SLANÝ",2008-11-18,2008-11-18,,True
9873556,E - Evidenční,Nezjištěno,3821,"MÍROVÁ 1806, 73532, RYCHVALD",2007-12-03,2007-12-03,,True
4836095,P - Pravidelná,A,3210,"OVČÁRECKÁ 509, 28002, KOLÍN - SENDRAŽICE",2009-06-02,2011-05-25,,True
7986096,P - Pravidelná,Nezjištěno,3203,"NETOVICKÁ 350, 27401, SLANÝ",2008-09-05,2010-08-21,,True
7119807,E - Evidenční,Nezjištěno,3621,"DR. FARSKÉHO 300, 51211, VYSOKÉ NAD JIZEROU",2008-08-11,2008-08-11,,True
9246132,E - Evidenční,Nezjištěno,3846,"PŘÍČNÁ 1269/11, 78401, LITOVEL",2008-12-15,2008-12-15,,True
9093002,P - Pravidelná,A,3814,"U ŘEKY 660, 72000, OSTRAVA - HRABOVÁ",2010-04-21,2011-04-21,,True
9873556,P - Pravidelná,A,3821,"MÍROVÁ 1806, 73532, RYCHVALD",2008-08-26,2010-08-26,,True
7119807,P - Pravidelná,A,3621,"DR. FARSKÉHO 300, 51211, VYSOKÉ NAD JIZEROU",2006-09-26,2008-09-22,,True
11343345,P - Pravidelná,A,330800011,OSTATNÍ STK V ČR,2007-02-07,2009-02-07,,True
7817199,P - Pravidelná,A,3746,"DOLNÍ VILÉMOVICE 148, 67552, LIPNÍK U HROTOVIC",2006-09-04,2008-09-04,,True
7642630,P - Pravidelná,A,3221,"DRÁSOV 121, 26101, DRÁSOV",2007-03-22,2009-03-22,,True
9108480,P - Pravidelná,A,3639,"PARDUBICKÁ 1338, 50346, TŘEBECHOVICE POD OREBEM",2008-01-08,2010-01-08,,True
10912945,P - Pravidelná,A,3621,"DR. FARSKÉHO 300, 51211, VYSOKÉ NAD JIZEROU",2010-11-10,2012-10-25,,True
8664434,E - Evidenční,Nezjištěno,3814,"U ŘEKY 660, 72000, OSTRAVA - HRABOVÁ",2001-08-20,2001-08-20,,True
2985737,P - Pravidelná,A,3403,"ČÍMICE 77, 34201, ČÍMICE",2007-04-24,2009-04-24,,True
8875316,P - Pravidelná,A,3814,"U ŘEKY 660, 72000, OSTRAVA - HRABOVÁ",2011-06-07,2012-01-12,,True
5333923,P - Pravidelná,A,3410,"VRÁZOVA 2626/16, 35002, CHEB",2009-06-26,2011-06-26,,True
5369032,P - Pravidelná,A,3221,"DRÁSOV 121, 26101, DRÁSOV",2002-10-17,2004-10-17,,True
8126996,P - Pravidelná,A,3728,"DŘEVAŘSKÁ 2250/33, 68001, BOSKOVICE",2009-05-13,2011-05-13,,True
8601422,P - Pravidelná,A,3210,"OVČÁRECKÁ 509, 28002, KOLÍN - SENDRAŽICE",2010-04-08,2010-09-18,,True
1787318,E - Evidenční,Nezjištěno,3628,"U Koupaliště 180, 561 64, Jablonné nad Orlicí",2002-04-19,2002-04-19,,True
1952761,E - Evidenční,Nezjištěno,3110,"K MĚCHOLUPŮM 3, 10900, PRAHA 10",2004-06-23,2004-06-23,,True
9743279,P - Pravidelná,Nezjištěno,3728,"DŘEVAŘSKÁ 2250/33, 68001, BOSKOVICE",2002-04-15,2003-12-03,,True
2003087,E - Evidenční,Nezjištěno,3310,"HRADIŠŤSKÁ 2439, 39701, PÍSEK",2007-09-19,2007-09-19,,True
8126996,E - Evidenční,Nezjištěno,3728,"DŘEVAŘSKÁ 2250/33, 68001, BOSKOVICE",2005-07-13,2005-07-13,,True
8799417,E - Evidenční,Nezjištěno,3628,"U Koupaliště 180, 561 64, Jablonné nad Orlicí",2006-07-18,2006-07-18,,True
8664434,P - Pravidelná,Nezjištěno,3814,"U ŘEKY 660, 72000, OSTRAVA - HRABOVÁ",2008-10-08,2010-10-08,,True
6530352,E - Evidenční,Nezjištěno,3603,"LIDICKÁ 3974, 58001, HAVLÍČKŮV BROD",2008-07-28,2008-07-28,,True
7023915,P - Pravidelná,A,3403,"ČÍMICE 77, 34201, ČÍMICE",2009-06-03,2011-06-03,,True
4905311,E - Evidenční,Nezjištěno,3210,"OVČÁRECKÁ 509, 28002, KOLÍN - SENDRAŽICE",2008-04-21,2008-04-21,,True
4410971,P - Pravidelná,A,3614,"BEZRUČOVA 905, 55203, ČESKÁ SKALICE",2006-08-25,2008-08-25,,True
4495995,P - Pravidelná,A,3603,"LIDICKÁ 3974, 58001, HAVLÍČKŮV BROD",2007-11-09,2009-11-09,,True
4648389,P - Pravidelná,A,3603,"LIDICKÁ 3974, 58001, HAVLÍČKŮV BROD",2007-05-29,2009-05-29,,True
11506831,P - Pravidelná,A,3410,"VRÁZOVA 2626/16, 35002, CHEB",2008-07-03,2010-07-03,,True
8886823,P - Pravidelná,A,3746,"DOLNÍ VILÉMOVICE 148, 67552, LIPNÍK U HROTOVIC",2008-05-09,2010-05-09,,True
8891658,P - Pravidelná,A,3503,"HLUBANSKÁ 741, 44101, PODBOŘANY",2003-08-12,2005-08-06,,True
9235305,E - Evidenční,Nezjištěno,3646,"Svitavská 1610, 57101, Moravská Třebová",2008-12-17,2008-12-17,,True
7830771,P - Pravidelná,A,3410,"VRÁZOVA 2626/16, 35002, CHEB",2004-04-07,2006-04-07,,True
4648389,E - Evidenční,Nezjištěno,3603,"LIDICKÁ 3974, 58001, HAVLÍČKŮV BROD",2007-06-18,2007-06-18,,True
5730660,E - Evidenční,Nezjištěno,3221,"DRÁSOV 121, 26101, DRÁSOV",2004-09-10,2004-09-10,,True
11374898,E - Evidenční,Nezjištěno,3628,"U Koupaliště 180, 561 64, Jablonné nad Orlicí",2007-08-15,2007-08-15,,True
5546176,P - Pravidelná,A,3746,"DOLNÍ VILÉMOVICE 148, 67552, LIPNÍK U HROTOVIC",2006-10-26,2008-10-26,,True
8828141,P - Pravidelná,A,3828,"MARTINSKÁ ČTVRŤ 1739, 74401, FRENŠTÁT POD RADHOŠTĚM",2003-03-05,2005-03-05,,True
2997713,P - Pravidelná,A,3828,"MARTINSKÁ ČTVRŤ 1739, 74401, FRENŠTÁT POD RADHOŠTĚM",2004-05-21,2006-05-21,,True
8910724,P - Pravidelná,A,3628,"U Koupaliště 180, 561 64, Jablonné nad Orlicí",2006-09-20,2008-09-20,,True
9319887,E - Evidenční,Nezjištěno,3303,"PÍSECKÁ 513, 38601, STRAKONICE I",2008-12-17,2008-12-17,,True
3223625,P - Pravidelná,A,3228,"POD HÁJEM 372, 26701, KRÁLŮV DVŮR",2010-08-11,2012-08-09,,False
5704240,E - Evidenční,Nezjištěno,3210,"OVČÁRECKÁ 509, 28002, KOLÍN - SENDRAŽICE",2009-07-03,2009-07-03,,True
5670389,P - Pravidelná,A,3528,"KOVÁŘOVA 3189, 47001, ČESKÁ LÍPA",2007-05-09,2009-05-09,,True
9079020,P - Pravidelná,A,3628,"U Koupaliště 180, 561 64, Jablonné nad Orlicí",2007-08-02,2009-08-02,,True
9079020,E - Evidenční,Nezjištěno,3628,"U Koupaliště 180, 561 64, Jablonné nad Orlicí",2007-04-23,2007-04-23,,True
7973071,P - Pravidelná,A,3814,"U ŘEKY 660, 72000, OSTRAVA - HRABOVÁ",2008-01-29,2010-01-29,,True
7951331,P - Pravidelná,A,3403,"ČÍMICE 77, 34201, ČÍMICE",2008-02-07,2010-01-24,,True
9687236,P - Pravidelná,A,3803,"LITOVELSKÁ 2585/14, 78501, ŠTERNBERK",2006-09-05,2008-09-05,,True
9880093,P - Pravidelná,A,3117,"PROSECKÁ 817, 19000, PRAHA 9",2010-10-11,2012-10-11,CZ-3117-10-10-0277,False
9880093,E - Evidenční,Nezjištěno,3117,"PROSECKÁ 817, 19000, PRAHA 9",2010-10-11,2010-10-11,,False
9947038,E - Evidenční,Nezjištěno,3746,"DOLNÍ VILÉMOVICE 148, 67552, LIPNÍK U HROTOVIC",2005-01-31,2005-01-31,,True
5857898,P - Pravidelná,A,3228,"POD HÁJEM 372, 26701, KRÁLŮV DVŮR",2008-10-16,2010-10-16,,True
11323422,P - Pravidelná,A,3639,"PARDUBICKÁ 1338, 50346, TŘEBECHOVICE POD OREBEM",2008-08-05,2010-08-05,,True
3894676,P - Pravidelná,A,3814,"U ŘEKY 660, 72000, OSTRAVA - HRABOVÁ",2003-11-24,2005-11-24,,True
8641240,P - Pravidelná,A,3728,"DŘEVAŘSKÁ 2250/33, 68001, BOSKOVICE",2006-04-26,2008-04-26,,True
8645450,P - Pravidelná,A,3110,"K MĚCHOLUPŮM 3, 10900, PRAHA 10",2008-10-08,2010-10-08,,True
7415520,P - Pravidelná,A,3428,"VINTÍŘOVSKÁ 1119, 35735, CHODOV",2008-07-31,2010-07-31,,True
9599605,P - Pravidelná,A,3503,"HLUBANSKÁ 741, 44101, PODBOŘANY",2007-05-12,2009-05-12,,True
7655007,E - Evidenční,Nezjištěno,3110,"K MĚCHOLUPŮM 3, 10900, PRAHA 10",2007-04-11,2007-04-11,,True
7515625,E - Evidenční,Nezjištěno,3303,"PÍSECKÁ 513, 38601, STRAKONICE I",2005-05-23,2005-05-23,,True
7351085,P - Pravidelná,Nezjištěno,3621,"DR. FARSKÉHO 300, 51211, VYSOKÉ NAD JIZEROU",1998-05-05,2000-05-05,,False
7351085,P - Pravidelná,C,310000161,"36.21 STK VYSOKÉ NAD JIZEROU, DR. FARSKÉHO 300, OKR. SEMILY",1998-05-05,2000-05-05,,True
8689452,P - Pravidelná,A,3306,"RUDOLFOVSKÁ 17, 37001, ČESKÉ BUDĚJOVICE 3",2008-12-05,2010-12-05,,True
8693172,E - Evidenční,Nezjištěno,3623,"DOBENÍNSKÁ 2014, 54701, NÁCHOD",2008-03-05,2008-03-05,,True
11872926,P - Pravidelná,A,3823,"VÍTKOVICKÁ 3258/9, 70200, OSTRAVA, MORAVSKÁ OSTRAVA",2010-03-18,2011-03-18,,True
3797815,P - Pravidelná,A,3606,"HRADECKÁ 1122, 50601, JIČÍN",2005-05-12,2007-05-12,,True
127176,P - Pravidelná,A,3740,"MASARYKOVA 1663, 69826, VESELÍ NAD MORAVOU",2003-06-05,2005-06-05,,True
3464090,P - Pravidelná,A,3725,"ČESKOSLOVENSKÉ ARMÁDY 217, 68401, SLAVKOV U BRNA",2004-06-21,2006-06-21,,True
668233,P - Pravidelná,A,3742,"VRCHLICKÉHO 349, 79852, KONICE",2004-05-20,2006-05-20,,True
8676909,E - Evidenční,Nezjištěno,3508,"RYBALKOVA 2765, 44001, LOUNY",2004-10-19,2004-10-19,,True
9514668,P - Pravidelná,A,3827,"TĚŠÍNSKÁ 2868/37A, 74600, OPAVA - PŘEDMĚSTÍ",2007-06-07,2009-06-07,,True
4912205,P - Pravidelná,A,3723,"ZA OLOMOUCKOU, 79601, PROSTĚJOV",2004-12-06,2005-12-06,,True
7895898,E - Evidenční,Nezjištěno,3308,"JAROŠOVSKÁ 869/II, 37701, JINDŘICHŮV HRADEC",2007-10-10,2007-10-10,,True
10314101,P - Pravidelná,A,3742,"VRCHLICKÉHO 349, 79852, KONICE",2007-03-29,2009-03-21,,True
9745691,E - Evidenční,Nezjištěno,3740,"MASARYKOVA 1663, 69826, VESELÍ NAD MORAVOU",2006-12-15,2006-12-15,,True
9674725,P - Pravidelná,A,3423,"PIVOVARSKÁ 146, 33701, ROKYCANY",2007-03-13,2009-03-13,,True
9674725,P - Pravidelná,A,3423,"PIVOVARSKÁ 146, 33701, ROKYCANY",2005-03-29,2007-03-29,,False
5983963,P - Pravidelná,A,3406,"DOMAŽLICKÉ PŘEDMĚSTÍ 938, 33901, KLATOVY",2006-05-22,2008-05-15,,True
7336741,E - Evidenční,Nezjištěno,3825,"MARKVARTOVICKÁ 7, 74801, HLUČÍN",2006-06-07,2006-06-07,,True
473151,E - Evidenční,Nezjištěno,3625,"VRACLAVSKÁ 523, 56601, VYSOKÉ MÝTO",2003-11-12,2003-11-12,,True
7126298,E - Evidenční,Nezjištěno,3608,"KRÁTKÁ 487, 54901, NOVÉ MĚSTO NAD METUJÍ",2003-10-20,2003-10-20,,True
3337542,E - Evidenční,Nezjištěno,3406,"DOMAŽLICKÉ PŘEDMĚSTÍ 938, 33901, KLATOVY",2004-07-26,2004-07-26,,True
5847035,E - Evidenční,Nezjištěno,3325,"Vodňanská 964, 383 01, Prachatice",2008-05-26,2008-05-26,,True
8945337,P - Pravidelná,A,3406,"DOMAŽLICKÉ PŘEDMĚSTÍ 938, 33901, KLATOVY",2007-08-08,2009-08-08,,True
3937407,P - Pravidelná,A,3840,"SLEZSKÁ 643/3, 747 28, ŠTĚPÁNKOVICE",2006-06-27,2008-06-27,,True
10271911,P - Pravidelná,A,3425,"NA MAZANCÍCH 349, 33144, KOŽLANY",2008-07-31,2010-07-31,,True
6711850,P - Pravidelná,A,370200143,ADMINISTRATIVNÍ OMEZENÍ - NOVÁ VOZIDLA,2005-06-01,2009-06-01,,True
8754874,P - Pravidelná,A,3223,"DLOUHÉ POLE 31, 25601, BENEŠOV",2009-08-28,2011-08-28,,True
8754874,E - Evidenční,Nezjištěno,3223,"DLOUHÉ POLE 31, 25601, BENEŠOV",2008-11-12,2008-11-12,,True
10356507,P - Pravidelná,A,3523,"HAVÍŘSKÁ 360/29, 40010, ÚSTÍ NAD LABEM - VŠEBOŘICE",2007-04-26,2009-04-26,,True
10323455,P - Pravidelná,A,3625,"VRACLAVSKÁ 523, 56601, VYSOKÉ MÝTO",2006-12-04,2008-12-04,,True
792252,P - Pravidelná,A,3308,"JAROŠOVSKÁ 869/II, 37701, JINDŘICHŮV HRADEC",2004-05-10,2006-05-10,,True
8693172,P - Pravidelná,A,3623,"DOBENÍNSKÁ 2014, 54701, NÁCHOD",2006-03-31,2008-03-31,,True
8676909,P - Pravidelná,A,3508,"RYBALKOVA 2765, 44001, LOUNY",2006-09-05,2008-09-05,,True
7709743,P - Pravidelná,A,3225,"SUCHDOLSKÁ 682, 25262, HOROMĚŘICE",1999-10-29,2003-10-29,,True
8647822,P - Pravidelná,A,3425,"NA MAZANCÍCH 349, 33144, KOŽLANY",2008-06-20,2010-06-03,,True
8711358,P - Pravidelná,A,3640,"HORSKÁ 932, 54101, TRUTNOV - STŘEDNÍ PŘEDMĚSTÍ",2008-04-21,2010-04-21,,True
8686816,P - Pravidelná,A,3642,"VRAČOVICE 1, 56601, VRAČOVICE - ORLOV",2009-06-18,2011-06-18,,True
10504790,P - Pravidelná,A,3508,"RYBALKOVA 2765, 44001, LOUNY",2006-09-26,2008-09-26,,True
10504790,E - Evidenční,Nezjištěno,3508,"RYBALKOVA 2765, 44001, LOUNY",2004-10-06,2004-10-06,,True
10333171,P - Pravidelná,A,3706,"JESTŘABEC 2044, 59401, VELKÉ MEZIŘÍČÍ",2007-05-23,2009-05-23,,True
264290,P - Pravidelná,A,3827,"TĚŠÍNSKÁ 2868/37A, 74600, OPAVA - PŘEDMĚSTÍ",2003-11-28,2005-11-28,,True
7960959,P - Pravidelná,A,3306,"RUDOLFOVSKÁ 17, 37001, ČESKÉ BUDĚJOVICE 3",2009-04-01,2011-04-01,,True
10705593,P - Pravidelná,A,3308,"JAROŠOVSKÁ 869/II, 37701, JINDŘICHŮV HRADEC",2006-11-03,2008-11-03,,True
10339828,P - Pravidelná,A,3308,"JAROŠOVSKÁ 869/II, 37701, JINDŘICHŮV HRADEC",2007-10-15,2009-10-15,,True
10371364,E - Evidenční,Nezjištěno,3406,"DOMAŽLICKÉ PŘEDMĚSTÍ 938, 33901, KLATOVY",2005-02-02,2005-02-02,,True
10339828,E - Evidenční,Nezjištěno,3308,"JAROŠOVSKÁ 869/II, 37701, JINDŘICHŮV HRADEC",2006-08-31,2006-09-30,,True
9640022,P - Pravidelná,A,3208,"OBECNICKÁ 323, 26101, PŘÍBRAM I",2005-11-15,2007-11-15,,True
8685886,P - Pravidelná,A,3757,"ŘÍPSKÁ 11E, 62700, BRNO",2008-04-10,2010-04-10,,True
9681831,P - Pravidelná,A,3225,"SUCHDOLSKÁ 682, 25262, HOROMĚŘICE",2005-11-01,2007-11-01,,True
10442896,P - Pravidelná,A,3306,"RUDOLFOVSKÁ 17, 37001, ČESKÉ BUDĚJOVICE 3",2003-01-13,2005-01-13,,True
9819001,P - Pravidelná,A,3623,"DOBENÍNSKÁ 2014, 54701, NÁCHOD",2004-04-13,2006-04-13,,True
5785951,E - Evidenční,Nezjištěno,3208,"OBECNICKÁ 323, 26101, PŘÍBRAM I",2007-03-12,2007-03-12,,True
9755249,E - Evidenční,Nezjištěno,3640,"HORSKÁ 932, 54101, TRUTNOV - STŘEDNÍ PŘEDMĚSTÍ",2007-10-01,2007-10-01,,True
7553820,P - Pravidelná,A,3606,"HRADECKÁ 1122, 50601, JIČÍN",2007-05-30,2009-05-30,,True
7236873,P - Pravidelná,A,3223,"DLOUHÉ POLE 31, 25601, BENEŠOV",2003-04-02,2007-04-02,,True
9217,P - Pravidelná,A,3708,"Brněnská 74, 693 01, Hustopeče",2003-07-31,2005-07-31,,True
9843758,P - Pravidelná,A,3108,"RADIMOVA 2327/39, 16900, PRAHA 6 - BŘEVNOV",2008-05-07,2010-05-07,,True
5278083,P - Pravidelná,Nezjištěno,360600001,NOVÉ VOZIDLO,2002-04-22,2006-04-22,,True
9561228,E - Evidenční,Nezjištěno,3808,"ŠPÁLOVA 1095/11, 70200, OSTRAVA-MOR. OSTRAVA A PŘÍVOZ",2003-11-04,2003-11-04,,True
9561228,P - Pravidelná,A,3808,"ŠPÁLOVA 1095/11, 70200, OSTRAVA-MOR. OSTRAVA A PŘÍVOZ",2002-12-02,2004-12-02,,True
8773076,P - Pravidelná,A,3757,"ŘÍPSKÁ 11E, 62700, BRNO",2008-03-05,2009-03-05,,True
7696859,P - Pravidelná,A,3808,"ŠPÁLOVA 1095/11, 70200, OSTRAVA-MOR. OSTRAVA A PŘÍVOZ",2006-03-08,2008-03-08,,True
9537570,P - Pravidelná,A,3406,"DOMAŽLICKÉ PŘEDMĚSTÍ 938, 33901, KLATOVY",2006-12-15,2008-12-15,,True
7833891,P - Pravidelná,A,3108,"RADIMOVA 2327/39, 16900, PRAHA 6 - BŘEVNOV",2009-05-13,2011-01-08,,True
6981581,P - Pravidelná,A,3827,"TĚŠÍNSKÁ 2868/37A, 74600, OPAVA - PŘEDMĚSTÍ",2010-02-22,2011-02-22,,True
9116671,P - Pravidelná,A,3223,"DLOUHÉ POLE 31, 25601, BENEŠOV",2009-05-27,2011-05-27,,True
9116671,E - Evidenční,Nezjištěno,3223,"DLOUHÉ POLE 31, 25601, BENEŠOV",2008-12-11,,,True
